split,depth,previous_depth,index,gamma,is_stable,is_bulk,relative_depth_difference,absolute_depth_difference,target_zero
calibration,6,4,1,14.13472518211145,True,True,2.6222870415913086e-05,0.00037065306681505206,14.134725141734695
calibration,6,4,2,21.02729395028394,False,False,0.024806177289135298,0.5216067816415055,21.022039638771556
calibration,6,4,3,25.290612428178317,False,False,0.3298120339534007,8.341148324864644,25.01085758014569
calibration,6,4,4,33.78043463426235,False,False,2.2618994090764453,76.4079451375835,30.424876125859512
calibration,6,4,5,55.25743687216285,False,False,inf,inf,32.93506158773919
calibration,6,4,6,182.3360658803699,False,False,inf,inf,37.586178158825675
evaluation,8,6,1,14.134725141735336,True,True,2.8565192807829662e-09,4.0376114895934734e-08,14.134725141734695
evaluation,8,6,2,21.022044087939715,True,True,0.0002497312974068611,0.00524986234422542,21.022039638771556
evaluation,8,6,3,25.012820163974663,False,False,0.01110599534089129,0.2777922642036543,25.01085758014569
evaluation,8,6,4,30.860044471626814,False,False,0.094633375052994,2.9203901626355346,30.424876125859512
evaluation,8,6,5,37.124611215854394,False,False,0.48843139530481255,18.132825656308455,32.93506158773919
evaluation,8,6,6,49.57829295562241,False,False,2.677739894021344,132.75777292474748,37.586178158825675
evaluation,8,6,7,82.01617033160174,False,False,inf,inf,40.9187190121475
evaluation,8,6,8,269.6660408635908,False,False,inf,inf,43.327073280915
