depth,node_count,orthogonality_defect,breakdown_index,minimum_beta
4,4,3.4211388289180104e-49,-1,0.0006972956816029312
6,6,3.4211388289180104e-49,-1,0.0004976864603105883
8,8,3.4211388289180104e-49,-1,0.0002722573986453406
