control,depth,statistic,L,number_variance,mean_count,windows,poisson_number_variance,gue_number_variance_asymptotic,poisson_delta3,gue_delta3_asymptotic,delta3
signal,4,number_variance,1.0,1.0,0.5,8,1.0,0.3460212377847624,0.06666666666666667,0.02978220010239004,
signal,4,number_variance,2.0,0.984375,0.625,8,2.0,0.4162517305574453,0.13333333333333333,0.06489744648873148,
signal,4,delta3,1.0,,,8,1.0,0.3460212377847624,0.06666666666666667,0.02978220010239004,0.026675643599572536
signal,4,delta3,2.0,,,8,2.0,0.4162517305574453,0.13333333333333333,0.06489744648873148,0.03707653828711545
signal,6,number_variance,1.0,2.6875,0.75,8,1.0,0.3460212377847624,0.06666666666666667,0.02978220010239004,
signal,6,number_variance,2.0,2.6875,0.75,8,2.0,0.4162517305574453,0.13333333333333333,0.06489744648873148,
signal,6,delta3,1.0,,,8,1.0,0.3460212377847624,0.06666666666666667,0.02978220010239004,0.04449118373376987
signal,6,delta3,2.0,,,8,2.0,0.4162517305574453,0.13333333333333333,0.06489744648873148,0.06362069253409831
