split,depth,previous_depth,total_nodes,stable_start_index,stable_end_index,stable_count,bulk_start_index,bulk_end_index,bulk_count,zero_count,zero_rmse,zero_relative_rmse,zero_max_abs_error
calibration,6,4,6,1,1,1,1,1,1,1,4.037675616075376e-08,2.8565646488261668e-09,4.037675616075376e-08
evaluation,8,6,8,1,2,2,1,2,2,2,3.1460369760281807e-06,1.4965422147839037e-07,4.449168159226247e-06
