control,depth,index,gamma,unfolded
signal,4,1,14.135095835178266,0.04069954311498752
signal,4,2,21.548900731925446,0.15146701082500622
signal,4,3,33.63176075304296,0.4077810151657025
signal,4,4,110.18837977184585,3.0406995431149872
signal,6,1,14.13472518211145,0.03248875505757467
signal,6,2,21.02729395028394,0.11359733902431172
signal,6,3,25.290612428178317,0.17753546996236463
signal,6,4,33.78043463426235,0.3284235931476559
signal,6,5,55.25743687216285,0.8099696602308928
signal,6,6,182.3360658803699,5.0324887550575745
signflip,4,1,23.136590811802343,1.9927199880315127
signflip,6,1,23.136590811802343,1.9927199880315127
