control,depth,index,ratio
signal,4,1,0.43215534787082865
signal,4,2,0.0973497666638143
signal,6,1,0.7883028874511504
signal,6,2,0.4237452861650125
signal,6,3,0.3133409937272102
signal,6,4,0.1140423657700481
