control,depth,jacobi_size,positive_nodes,trimmed_nodes,spacing_count,zero_count,zero_rmse,zero_relative_rmse,zero_max_abs_error,ks_gue,ks_goe,ks_poisson,ratio_count,mean_ratio,ratio_ks_gue,ratio_ks_goe,ratio_ks_poisson,mean_spacing,spacing_std,bulk_mean_spacing,bulk_spacing_std,edge_mean_spacing,edge_spacing_std,best_spacing_family,orthogonality_defect,breakdown_index,min_beta
signal,4,4,4,4,3,4,40.114878998161764,1.3221674903092548,79.76350364598633,0.6493544075184885,0.6163770503824662,0.4405655896811107,2,0.2647525572673215,0.74038409403192,0.624981545729842,0.3964965483481806,1.0,1.156175631920843,0.2563140043406963,0.0,1.3718429978296518,1.261075530119633,Poisson,3.1861838222649046e-58,-1,0.0006972956816029312
signal,6,6,6,6,5,6,59.80824427148318,1.5970280525444447,144.7498877215442,0.6986049703041357,0.6334985459364558,0.459943901062175,4,0.4098578832783553,0.5007925487384944,0.38551081673119086,0.22716624277136244,1.0,1.618331735683299,0.23212410706886036,0.17990471717181966,2.1518138393967092,2.070705255429972,Poisson,5.22024357439882e-54,-1,0.0004976864603105883
signflip,4,2,1,1,0,1,9.001865670067648,0.6368617415480133,9.001865670067648,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GUE,1.5557538194652854e-61,1,0.001910897792088026
signflip,6,2,1,1,0,1,9.001865670067648,0.6368617415480133,9.001865670067648,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GUE,1.5557538194652854e-61,1,0.001910897792088026
