depth,relative_tolerance,absolute_tolerance,trim_fraction,minimum_spacings_gate,methods_present,gue_winning_methods,gue_consensus_fraction,minimum_spacing_count,mean_ks_gue,mean_ks_goe,mean_ks_poisson,mean_ratio,mean_bootstrap_gue_win_fraction
36,1e-06,1e-06,0.0,8,3,3,1.0,19,0.43209366560890317,0.4511698945150709,0.5669252526601649,0.9839691179573741,1.0
36,1e-06,1e-06,0.1,8,3,3,1.0,15,0.4474749706616954,0.4683283247356708,0.5889555558253979,0.9854460525739094,1.0
40,1e-06,1e-06,0.0,8,3,3,1.0,19,0.43209366560890317,0.4511698945150709,0.5669252526601649,0.9839691179573741,1.0
40,1e-06,1e-06,0.1,8,3,3,1.0,15,0.4474749706616954,0.4683283247356708,0.5889555558253979,0.9854460525739094,1.0
