control,depth,index,spacing
signal,4,1,0.11076746771001869
signal,4,2,0.2563140043406963
signal,4,3,2.632918527949285
signal,6,1,0.08110858396673706
signal,6,2,0.06393813093805291
signal,6,3,0.15088812318529127
signal,6,4,0.4815460670832369
signal,6,5,4.222519094826682
