depth_small,depth_large,alpha_max_abs,beta_max_abs,alpha_rmse,beta_rmse
8,12,0.0,0.0,0.0,0.0
12,16,0.0,0.0,0.0,0.0
16,20,0.0,0.0,0.0,0.0
