index,moment
58,1.84540035947408059051360468178056467497386986914646217161394e-136
59,9.23667930493611127187774858162056496623033555006434591922807e-139
60,4.62318348125548555238566066146287763270587335142471821217017e-141
61,2.31401619518514073640778448233012738300959483022909303123908e-143
62,1.15822159628520407960151316343061441995631488324488768024285e-145
63,5.79718183862631442445782465840546161281132468564737838145669e-148
64,2.90163103311908936082760283520595587980056731287995299910317e-150
65,1.45233716773576460339422614091882862900741723488540472817222e-152
66,7.26930207428675786125463035444754237549121650453177220764299e-155
67,3.63846314899543134458249249095174351383745058852567864004229e-157
68,1.82113962954231255502951444660259966538617936214430935234706e-159
69,9.11524842901102543155866750082006270817263236314532997806612e-162
70,4.56240436344079333975301260694022913076962076832685005793579e-164
71,2.28359476295721847126066509195784477845845440331675380931162e-166
72,1.14299492679619162198623141537996703165700231816372604795653e-168
73,5.72096864064452499873561414302709304796071556183051095292711e-171
74,2.86348446698522271378192903054184150186946589303378101260535e-173
75,1.43324388013808156792600001409042025500008338693894122702473e-175
76,7.17373550873836243040144533070936895342728273053883636055748e-178
77,3.59062974993311353102782317106228952378397255907071553024206e-180
78,1.79719784558549270117554323904845977608589404360267383222618e-182
79,8.99541395555279297348223967842591843501717638527385476220962e-185
80,4.50242428403271203132980658352913099169379179266809350891595e-187
81,2.25357326895821772953306469462803060473743823716034779593476e-189
82,1.12796843615419017371629160465619460843236342989326753633727e-191
83,5.64575738666040527312651753778771035285668705323470713766102e-194
84,2.82583939828200673305866042401525740365987874003547369520375e-196
85,1.414401604247174711994071357802153325348172156631945683484e-198
86,7.07942531806026180153960126191185886098148264372300901350991e-201
87,3.54342519716445315521874424711603595288133555752040701215437e-203
88,1.77357081455027013033612007818807446300050798079583092793191e-205
89,8.87715489730576939575871126693419285472931475932389476559532e-208
90,4.44323273839744312606855273103644597438076582561985767143645e-210
91,2.2239464553624794656755618632345662221072946031601507681502e-212
92,1.11313949268910145278228096162596901599862302841605642024806e-214
93,5.57153490452266058325360889006139324550767550580390585610393e-217
94,2.78868923402615514750785929147696689722788537234950612346638e-219
95,1.39580704011395897930875227701019189763216087951123542380266e-221
96,6.98635498520168983689527286060611281703292435532497181891573e-224
97,3.49684122350232158547674334086112750044730859181634271097206e-226
98,1.75025439850766541884897800884280297522283662422949670902989e-228
99,8.76045054292524658830446190629547658048264683588213438697455e-231
100,4.38481936000134742396031461336546819857743217026396002215793e-233
101,2.19470913346684571503101029014415713021126688006185720600662e-235
102,1.09850549932832641150091982114771908434929441226258703891098e-237
103,5.49828819524892599840216877252074800057798928734543458225274e-240
104,2.75202746790965847982896916358177099809297006665004107986436e-242
105,1.37745693117244129691108075364442908595450190516867988027948e-244
106,6.89450821025484661160248984614183452805779022983239459027616e-247
107,3.45086967044494575183155638206379647652556212028432052391754e-249
