kind,index,value,status,det_h0,det_h1,status_h0,status_h1
moment,0,0.02310499311541897078893381043033901400338,PASS,,,,
moment,1,0.00003717259928526968616486626247174057845365,PASS,,,,
moment,2,0.0000001441739314009732796953815560948209070369,PASS,,,,
moment,3,0.0000000006630316802529908698732720819613572484737,PASS,,,,
moment,4,0.000000000003213664150616601216102116599834655141563,PASS,,,,
moment,5,1.587693451491015351898283880839104283669e-14,PASS,,,,
moment,6,7.90332572404673791109893061734150455832e-17,PASS,,,,
moment,7,3.946471399998846133796329066398208790927e-19,PASS,,,,
moment,8,1.973265073744967276523596221817948572931e-21,PASS,,,,
moment,9,9.872165383297157593570283687991876669046e-24,PASS,,,,
moment,10,4.940256352281979047470881244579739242894e-26,PASS,,,,
moment,11,2.472494444328769346059036640923093085639e-28,PASS,,,,
moment,12,1.237493444324996633150413834335031428109e-30,PASS,,,,
moment,13,6.193843423310201458727713017951691411815e-33,PASS,,,,
moment,14,3.10014428902178237733859264459771761252e-35,PASS,,,,
moment,15,1.551692133092488648049033906215012956383e-37,PASS,,,,
moment,16,7.76658491063252806022881369890695863546e-40,PASS,,,,
moment,17,3.887362406338819322322138887465530106403e-42,PASS,,,,
moment,18,1.945719118977135439324089313900431293743e-44,PASS,,,,
moment,19,9.738797682513350416463965112835138841504e-47,PASS,,,,
hankel,0,,,0.02310499311541897078893381043033901400338,0.00003717259928526968616486626247174057845365,PASS,PASS
hankel,1,,,0.000000001949335554819142214739878219172139505595,3.860488467870938419524130950083255811248e-15,PASS,PASS
hankel,2,,,2.172810510526246774956517448576295533636e-22,3.119960289996152952429297255983432220924e-31,PASS,PASS
hankel,3,,,1.17758171601017270195824056257680939932e-41,9.242138959054588163931760320987050980933e-54,PASS,PASS
hankel,4,,,1.962182053209979365965781541823992138968e-67,7.866246277504586609707379603911979389151e-83,PASS,PASS
hankel,5,,,8.098399483185036006671762162343241726338e-100,1.237319606824007047281938210620684680494e-118,PASS,PASS
hankel,6,,,4.160037900267730264293100827781699382743e-139,1.729616027847164441877444185216741921804e-161,PASS,PASS
hankel,7,,,1.583998477196694423941272979307078963215e-185,1.816993042605890062989062327977889630115e-211,PASS,PASS
hankel,8,,,4.960143640737788788797223878380086623435e-239,1.545037045820145069013979364360005494672e-268,PASS,PASS
sfraction,0,0.02310499311541897078893381043033901400338,PASS,,,,
sfraction,1,0.001608855674597140975326348221026599898568,PASS,,,,
sfraction,2,0.002269644461875822967102002383474579193904,PASS,,,,
sfraction,3,0.001230944773397245244470403177939493842426,PASS,,,,
sfraction,4,0.00107328712559268783973494326732506391182,PASS,,,,
sfraction,5,0.000725056011642702635585107757250038646233,PASS,,,,
sfraction,6,0.0006705982155509655086423362597835532801919,PASS,,,,
sfraction,7,0.0005465806176680678955733593517074774296182,PASS,,,,
sfraction,8,0.0005625029673074452243190305515420571902446,PASS,,,,
sfraction,9,0.0005107951910754547590719119234601015490167,PASS,,,,
sfraction,10,0.0004849141438762951281277972109749787767895,PASS,,,,
sfraction,11,0.0003811136104647091804031600330295076017361,PASS,,,,
sfraction,12,0.0003265756015734947369534329370154798285152,PASS,,,,
sfraction,13,0.000272125797634501150756737015833388457834,PASS,,,,
sfraction,14,0.0002723890632989004990353560173832165181632,PASS,,,,
sfraction,15,0.0002758964363079103811975033543324823374847,PASS,,,,
sfraction,16,0.0002980821228007939250286301728710895808069,PASS,,,,
sfraction,17,0.0002715477064907712737238255562712271742105,PASS,,,,
sfraction,18,0.0002406227219854438524016262576364917609621,PASS,,,,
sfraction,19,0.0002095990601907921936166347744194758297071,PASS,,,,
