control,depth,kind,index,value
signflip,20,alpha,0,0.001608855674597140975326348221026599898568
signflip,20,alpha,1,-0.01221691242284586214631393450003070336207
signflip,20,beta,1,0.0019108977920880258769073916550969611963
permuted,8,alpha,0,5.07964276590281675150611133615226729646e-121
permuted,12,alpha,0,5.07964276590281675150611133615226729646e-121
permuted,16,alpha,0,5.07964276590281675150611133615226729646e-121
permuted,20,alpha,0,5.07964276590281675150611133615226729646e-121
gaussian,8,alpha,0,2.234430611033795073310362730231080891007e-86
gaussian,8,alpha,1,1.346663235103891329286222981104146091778e+57
gaussian,8,beta,1,3.493050121035467984804775569639319640404e-24
gaussian,12,alpha,0,2.234430611033795073310362730231080891007e-86
gaussian,12,alpha,1,1.346663235103891329286222981104146091778e+57
gaussian,12,beta,1,3.493050121035467984804775569639319640404e-24
gaussian,16,alpha,0,2.234430611033795073310362730231080891007e-86
gaussian,16,alpha,1,1.346663235103891329286222981104146091778e+57
gaussian,16,beta,1,3.493050121035467984804775569639319640404e-24
gaussian,20,alpha,0,2.234430611033795073310362730231080891007e-86
gaussian,20,alpha,1,1.346663235103891329286222981104146091778e+57
gaussian,20,beta,1,3.493050121035467984804775569639319640404e-24
